English,Português
the,o/a
and,e
of,de
to,para
a,um/uma
in,em
is,é
it,isso
you,você
that,isso/aquele
he,ele
was,foi
for,para
on,em/cima de
are,são/estão
with,com
as,como
I,eu
his,seu (dele)
they,eles/elas
be,ser/estar
at,em
one,um/uma
have,ter
from,de
or,ou
had,tinha
by,por
hot,quente
but,mas
some,algum/alguma
what,o que
there,lá
we,nós
can,pode
out,fora
other,outro/outra
were,eram/estavam
all,todo/toda
your,seu (seu)/sua (sua)
when,quando
up,acima
use,usar
word,palavra
how,como
said,disse
an,um/uma
each,cada
she,ela
which,que
do,fazer
their,seu (deles)/sua (delas)
time,tempo
if,se
will,vai
way,caminho
about,sobre
many,muitos/muitas
then,então
write,escrever
would,iria
like,gostar
so,então/tão
these,estes/estas
her,dela
long,longo
make,fazer
thing,coisa
see,ver
him,ele (o)
two,dois/duas
has,tem
look,olhar
more,mais
day,dia
could,poderia
come,vir
did,fez
number,número
sound,som
no,não
most,a maioria
people,pessoas
my,meu/minha
over,acima de
know,saber/conhecer
water,água
than,do que
call,chamar
first,primeiro
who,quem
may,poder
down,abaixo
side,lado
been,sido
now,agora
find,encontrar
any,algum/alguma
new,novo/nova
work,trabalho
part,parte
take,levar
get,obter/pegar
place,lugar
made,feito
live,viver
where,onde
after,após
back,de volta
little,pouco/pouca
only,somente/apenas
round,redondo
man,homem
year,ano
came,veio
show,mostrar
every,todo/toda
good,bom/bom
me,me
give,dar
our,nosso/nossa
under,abaixo de
name,nome
very,muito/muita
through,através de
just,apenas/só
form,forma
much,muito/muita
great,grande
think,pensar
say,dizer
help,ajudar
low,baixo/baixa
line,linha
differ,diferir
turn,virar
cause,causar
much,muito/muita
mean,significar
before,antes de
move,mover
right,direito
boy,menino
old,velho/velha
too,muito/muita
same,mesmo/mesma
tell,contar/dizer
does,faz
set,ajustar
three,três
want,querer
air,ar
well,bem
also,também
play,jogar
small,pequeno/pequena
end,fim
put,colocar
home,casa
read,ler
hand,mão
port,porto
large,grande
spell,soletrar
add,adicionar
even,mesmo/mesma
land,terra
here,aqui
must,deve
big,grande
high,alto/alta
such,tal/tal
act,agir
why,por que
ask,perguntar
men,homens
change,mudança
went,foi
light,luz
kind,tipo
off,desligado
need,necessidade
house,casa
picture,imagem
try,tentar
us,nos
again,novamente
animal,animal
point,ponto
mother,mãe
world,mundo
near,perto
build,construir
self,próprio/própria
earth,terra
father,pai
